PUBCHEM_RESULT_TAG,PUBCHEM_SID,PUBCHEM_CID,PUBCHEM_EXT_DATASOURCE_SMILES,PUBCHEM_ACTIVITY_OUTCOME,PUBCHEM_ACTIVITY_SCORE,PUBCHEM_ACTIVITY_URL,PUBCHEM_ASSAYDATA_COMMENT,Phenotype,Permeability,Analysis Comment,Compound QC
1277,162010084,929302,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC=CC=C4Cl,Active,,,,High,>1000,class = 0,QC'ed NCATS
1278,162010088,71296005,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=C(C(=CC=C4)F)F,Active,,,,High,798.81,class = 0,QC'ed NCATS
1279,160844048,1079726,C1=CC(=CC=C1NCC2=C(C=CC(=C2)Cl)O)S(=O)(=O)NC3=NC=CS3,Active,,,,Moderate,10.8,class = 1,QC'ed NCATS
1280,172113111,11230874,CC1=CC(=CC(=C1O)C)/C=C/2\C3=CC=CC=C3NC2=O,Active,,,,High,976.27,class = 0,QC'ed NCATS
1281,161004144,70789432,C1=CC=C(C=C1)C2=CSC(=N2)NC(=O)C3=C(C=NC=C3)NS(=O)(=O)C4=CC(=C(C=C4)F)F,Active,,,,High,>1000,class = 0,QC'ed NCATS
1282,161004478,70789671,CN1CCN(CC1)C2=C(C=C(C=C2)NC3=NC(=NC4=CC=CC=C43)C5=CC=NC=C5)OC,Active,,,,High,>1000,class = 0,QC'ed NCATS
1283,161004489,70789686,COC1=C(C=C(C=C1)C2=C(C=C(C=C2)NC3=NC(=NC4=CC=CC=C43)C5=CC=NC=C5)F)F,Active,,,,Moderate,39.9,class = 1,QC'ed NCATS
1284,170466921,72187556,CC1=CC=CC=C1C(=O)N2CCC3=C2C=CC(=C3)C4=C(SC(=N4)NC(=O)CC5CCCCC5)C,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1285,170466924,72187533,CC1=CC=CC=C1C(=O)N2CCC3=C2C=CC(=C3)N4CCC(C4)NC(=O)CC5=CC=CC=C5,Active,,,,High,782.62,class = 0,QC'ed NCATS
1286,170466926,72187554,CC1=CC=CC=C1C(=O)N2CCC3=C2C=CC(=C3)N4C=C(C=N4)NC(=O)CC5=CC=CC=C5,Active,,,,Moderate,82.63,class = 1,QC'ed NCATS
1287,174315287,73330287,CC1=C(C=CC=N1)C(=O)NC2=CC(=C(C=C2)OC)[S+](=O)(NC3=CC=C(C=C3)Br)[O-],Active,,,,High,522.11,class = 0,QC'ed NCATS
1288,375807228,40776995,CCC(CC)C1=NC(=NC(=C1)[C@H]2CN3CC[C@H]2C[C@@H]3CNC(=O)C)C4=CC=NC=C4,Active,,,,High,993.52,class = 0,QC'ed NCATS
1289,124882417,16363,C1CN(CCC1N2C3=CC=CC=C3NC2=O)CCCC(=O)C4=CC=C(C=C4)F,Active,,,,High,952.49,class = 0,QC'ed NCATS
1290,56463495,6603792,C1CCC(C1)N2C=C(C3=C(N=CN=C32)N)C4=CC=C(C=C4)OC5=CC=CC=C5,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1291,24268558,15988382,CCC1=CC=C(C=C1)N2C(=C(N=N2)C3=NSC(=N3)NC(=O)C4=CC=CC=C4Cl)C,Active,,,,High,614.9,class = 0,QC'ed NCATS
1292,50122292,24870588,C1CCC(C(C1)C2C3=C(CCCC3=O)NC(=N2)NC4NC5CCCCC5S4)Cl,Active,,,,High,160.78,class = 0,QC'ed NCATS
1293,24274741,4302940,CCN1C=C(C(=N1)C)CNC(=O)C2=CC(=NC3=C2C=C(C=C3)Br)C4=CC=C(C=C4)C,Inactive,,,,Low,5.55,class = 1,QC'ed NCATS
1294,375884531,134805000,COC1=NC=C(C=C1)C2=NN3C(=NC=C3NC4=C(N=CC=C4)OC)C=C2,Active,,,,High,>1000,class = 0,QC'ed NCATS
1295,104223944,5223276,C1=COC(=C1)C2=NN=C(O2)NC(=O)C3=CC=C(C=C3)Cl,Active,,,,Moderate,24.21,class = 1,QC'ed NCATS
1296,124887756,2526122,CN1C(=NN=N1)SC2=NC=NC3=C2C(=CS3)C4=CC=C(C=C4)F,Active,,,,High,910.64,class = 0,QC'ed NCATS
1297,24387024,16010499,CC1=CC=C(C=C1)S(=O)(=O)C2=CN=C(NC2=O)SC(C)C(=O)NC3=CC=CC=C3,Inactive,,,,Low,1.2,class = 1,QC'ed NCATS
1298,124878261,16414,CN(C)CCCN1C2=C(C=C(C=C2)O)SC3=C1C=C(C=C3)Cl,Active,,,,High,>1000,class = 0,QC'ed NCATS
1299,163827047,71660741,CC1=C2C(=CC=C1)OC(=N2)NC3=NC(C4=C(N3)CCCC4=O)C5=C(C=NN5)Cl,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1300,164755729,51210891,CN(C)S(=O)(=O)C1=CC=CC(=C1)NC(=O)C2=CC=CN2,Active,,,,High,179.1,class = 0,QC'ed NCATS
1301,377667107,22431996,CC1CN(CCN1C2=CC=C(C=C2)C)C3=C(C(=O)N(N=C3)C4=NC5=CC=CC=C5S4)Cl,Active,,,,High,317.09,class = 0,QC'ed NCATS
1302,24393759,16015991,CC1=CC=CC=C1C(=O)NC2=NC3=C(S2)CC(CC3)C(C)(C)C,Active,,,,High,256.74,class = 0,QC'ed NCATS
1303,24788629,750541,C1=CN(C(=C1)C=C2C(=O)NC(=S)NC2=O)C3=CC=C(C=C3)O,Active,,,,Moderate,44.11,class = 1,QC'ed NCATS
1304,11113674,2396,CN(C)CCCN1C=C(C2=CC=CC=C21)C3=C(C(=O)NC3=O)C4=CNC5=CC=CC=C54,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1305,99431346,46926065,CC1=C(C(N=C(N1)NC2=NC3=CC=CC=C3O2)C4=C(C=NN4)Cl)C(=O)NC5=NC6=CC=CC=C6S5,Inactive,,,,Low,6,class = 1,QC'ed NCATS
1306,124949023,45166656,CC(COC)NCC1=C(N=C2C=C(C=CC2=C1)OC)N3CCN(CC3)C4=CC=C(C=C4)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1307,24273859,1205402,CC1=C(C2=C(N1C3=CC=C(C=C3)OC)C=CC(=C2)OC(=O)COC4=CC=CC=C4)C(=O)C,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1308,24269052,15988815,CCCCN1C=NC2=C1C=CC(=C2)NCC3=CC=C(C=C3)OCC,Active,,,,High,>1000,class = 0,QC'ed NCATS
1309,377691016,135526339,CC1=NN(C2=C1C(=CC(=O)N2)C(F)(F)F)CCC3=NC(=CS3)C4=CC=CC=C4,Active,,,,High,425.92,class = 0,QC'ed NCATS
1310,363681144,25181472,COCCNCC1=CN=C(C=C1)C2=CC3=NC=CC(=C3S2)OC4=C(C=C(C=C4)NC(=S)NC(=O)CC5=CC=C(C=C5)F)F,Active,,,,High,360.62,class = 0,QC'ed NCATS
1311,144116953,60167849,CC1=CN=C(N=C1NCC2=CC=C(C=C2)N3C=CN=N3)C4=CC=CC=C4C(C)C,Active,,,,High,>1000,class = 0,QC'ed NCATS
1312,26727478,2741895,C1CN(CCN1C2=NC=C(C=C2)NC(=O)C3=CC=CS3)C4=C(C=CC=N4)C(F)(F)F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1313,375803133,26745159,C1CCC(CC1)NC(=O)N2CC3=C(C[C@H]2C4=NC(=NO4)C5=CC(=CC=C5)[N+](=O)[O-])N=CN3,Active,,,,High,202.01,class = 0,QC'ed NCATS
1314,170466901,1450429,CC1=CC=CC=C1C(=O)N2CCC3=C2C=CC(=C3)C4=CSC(=N4)NC(=O)CC5=CC6=C(C=C5)OCO6,Active,,,,High,>1000,class = 0,QC'ed NCATS
1315,49735029,4176165,CC1=C(SC2=NC(=NC(=C12)N3CCN(CC3)C4=CC=CC=N4)C)C(=O)NC5=C(C=C(C=C5)F)Cl,Active,,,,High,>1000,class = 0,QC'ed NCATS
1316,375888389,134808857,CC1=CC2=C(N=C(C=C2N1)C3=C(ON=C3C)C)C4=C(C(=CC=C4)OC)OC,Active,,,,High,>1000,class = 0,QC'ed NCATS
1317,375856591,53137515,C1COCCN1C2=NC=NC3=C2C=CC(=C3)NC(=O)C4=CC(=CC=C4)Br,Active,,,,High,>1000,class = 0,QC'ed NCATS
1318,375886531,134806999,C1=CC2=C(C(=C1)C3=CN4C=NC=C4C(=C3)C5=CC=NC=C5)NN=C2,Active,,,,Moderate,25.11,class = 1,QC'ed NCATS
1319,375868777,90489352,CN1C2=CC=CC=C2C(=CC1=O)C(=O)NC3CCCC4=C3NC5=C4C=CC=C5Cl,Active,,,,Moderate,68.05,class = 1,QC'ed NCATS
1320,384569047,5281304,CC1=C(C(=O)C[C@]2([C@H]1C[C@@H]3[C@]45[C@@H]2[C@H]([C@@H]([C@]([C@@H]4[C@H](C(=O)O3)OC(=O)/C=C(\C)/C(C)C)(OC5)C(=O)OC)O)O)C)O,Active,,,,High,120.25,class = 0,QC'ed NCATS
1321,375870877,11173800,C1CC(C2=C(C1)C3=CC=CC=C3N2)NC(=O)C4=CC=CC=C4,Active,,,,High,134.97,class = 0,QC'ed NCATS
1322,56431675,25109894,C1COC2=C1C=C(C=C2)C3C4=C(C=CC5=CC=CC=C54)OC6=C3C(=N)N(C=N6)C7=CC=CC=C7,Active,,,,High,282.4,class = 0,QC'ed NCATS
1323,375884446,134804915,COC1=NC=C(C=C1)CN2CCNC3=CC(=NC=C3C2)NC4=CC=CC=C4,Active,,,,High,833.69,class = 0,QC'ed NCATS
1324,377020335,135398511,C1=CC=C2C(=C1)C(=C(N2)O)C\3=NC4=CC=CC=C4/C3=N\OCCC(CO)O,Active,,,,High,960.7,class = 0,QC'ed NCATS
1325,49719299,24790872,C1CC(=O)N(CC1C(=O)N2CCSCC2)CC3=CC=C(C=C3)Cl,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1326,4238946,3234053,CC1=CN=C(C=N1)CNC2=NC(=NC3=CC=CC=C32)C4=CC=CC=C4OC,Active,,,,High,>1000,class = 0,QC'ed NCATS
1327,99431272,46926024,C1CC2=C(C(N=C(N2)NC3=NC4=CC=CC=C4O3)C5=CC=CC=C5C(F)(F)F)C(=O)C1,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1328,124391207,53255382,C1=CC(=CC(=C1)O)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)CC3=CC(=C(C=C3)Cl)Cl,Active,,,,Moderate,15.6,class = 1,QC'ed NCATS
1329,160844019,487903,C1=CC=C(C=C1)CNC2=CC=C(C=C2)S(=O)(=O)NC3=NC=CS3,Active,,,,High,319.53,class = 0,QC'ed NCATS
1330,161004025,70789377,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC=C2C(=O)NC3=NC(=C(S3)Br)C4=CC=CC=C4,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1331,144116973,60167907,C1=CC=C(C(=C1)C2=NC=C(C(=N2)NCC3=CC=C(C=C3)C4=CC=NN4)F)C(F)F,Active,,,,High,>1000,class = 0,QC'ed NCATS
1332,160844036,70701374,COC1=CC=CC(=C1O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=CC=CC4=C3C=NC=C4,Active,,,,High,>1000,class = 0,QC'ed NCATS
1333,161004437,70789685,CC1=NC2=C(S1)C=C(C=C2)NC3=NC(=NC4=CC=CC=C43)C5=CC=NC=C5,Active,,,,Moderate,55.79,class = 1,QC'ed NCATS
1334,163826995,71660749,C1CC2=C(C(N=C(N2)NC3=NC4=C(O3)C=C(C=C4)Cl)C5=C(C=NN5)Cl)C(=O)C1,Active,,,,High,650.59,class = 0,QC'ed NCATS
1335,162010090,71296023,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=C(C=CC(=C4)F)F,Active,,,,High,455.47,class = 0,QC'ed NCATS
1336,160844076,70701412,COC1=CC=CC(=C1O)CNC2=CC=C(C=C2)S(=O)(=O)NC3=CC4=CC=CC=C4C=C3,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1337,161004459,70789650,CC1=C(C=CN=C1)C2=NC3=CC=CC=C3C(=N2)NC4=CC(=C(C=C4)F)F,Active,,,,Moderate,31.1,class = 1,QC'ed NCATS
1338,161004480,70789692,CC1=C(C(=NO1)C)C2=C(C=C(C=C2)NC3=NC(=NC4=CC=CC=C43)C5=CC=NC=C5)F,Active,,,,High,409.76,class = 0,QC'ed NCATS
1339,162010113,820818,C1CCC(CC1)NC2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4,Active,,,,High,>1000,class = 0,QC'ed NCATS
1340,162010114,710951,C1COCCN1C2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4,Active,,,,High,>1000,class = 0,QC'ed NCATS
1341,170466920,72187549,CC1=CN=C(S1)NC(=O)C2=CC=C(O2)C3=CC(=CC=C3)[N+](=O)[O-],Active,,,,Moderate,47.89,class = 1,QC'ed NCATS
1342,11112923,6604471,CC(C)SC1=CC2=C(C=C1)N=C(N2)NC(=O)OC,Active,,,,High,433.29,class = 0,QC'ed NCATS
1343,87677821,44144362,CN(C)C1=CC=CC=C1C2=CSC(=N2)N3CCC(CC3)C(=O)N,Active,,,,High,330.63,class = 0,QC'ed NCATS
1344,124878486,135485450,C[C@@H]1[C@@H](/C=C\O[C@@]2(C(=O)C3=C(O2)C(=C(C4=C3C(=N[C@H]5CC[C@@H](O[C@@H]5C)O)C=C(C4=O)NC(=O)/C(=C\C(=O)[C@@H]6C[C@@H]6[C@H]([C@@H]([C@H]([C@@H]([C@@H]1OC(=O)C)C)O)C)O)/C)O)C)C)OC,Inactive,,,,Low,2.33,class = 1,QC'ed NCATS
1345,160844127,70701451,CNC1=NC=C(O1)C2=CC=CC3=CC=CC=C32,Active,,,,High,>1000,class = 0,QC'ed NCATS
1346,161004082,70789413,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CN=C2)C(=O)NC3=NC(=CS3)C4=CC=CC=C4F,Active,,,,Moderate,51.22,class = 1,QC'ed NCATS
1347,160844083,70701389,C1=CC2=C(C=NC=C2)C(=C1)NS(=O)(=O)C3=CC=C(C=C3)NCC4=C(C(=CC=C4)Cl)O,Active,,,,High,>1000,class = 0,QC'ed NCATS
1348,92763396,426728,COC1=C(C(=C2C(=C1)CCC(C3=CC(=O)C(=CC=C32)SC)N)OC)OC,Active,,,,High,>1000,class = 0,QC'ed NCATS
1349,363677789,71533725,COC1=NC(=NC=C1C2=CC3=NC=C(C(=C3C=C2)NC4=CC(=CC(=C4)C(=O)O)OC5=CC(=CC(=C5)F)F)S(=O)(=O)NC6CC6)OC,Inactive,,,,Low,1,class = 1,QC'ed NCATS
1350,24268533,135416459,CC1=CC=C(C=C1)NC(=O)C2=C3NC(=C(C(N3N=C2)C4=CC=CC=C4C)C(=O)NC5=CC=C(C=C5)Cl)C,Active,,,,Moderate,10.1,class = 1,QC'ed NCATS
1351,161004434,921541,C1=CC=C2C(=C1)C(=NC(=N2)C3=CC=NC=C3)NC4=CC(=C(C=C4)F)F,Active,,,,High,376.34,class = 0,QC'ed NCATS
1352,24269054,15988816,CCC1=CC=C(C=C1)CNC2=CC3=C(C=C2)N(C=N3)C(C)(C)C,Active,,,,High,>1000,class = 0,QC'ed NCATS
1353,24396619,16018627,COC1=CC2=C(C=C1)C(=C(N2CC3=CC=C(C=C3)C=C)C(=O)O)CNCC4=CC=CC=C4,Active,,,,High,900.13,class = 0,QC'ed NCATS
1354,24401685,16023293,CC1=C(C=CC=C1Cl)N2C(=C(C=N2)C(=O)NC3=C(C=C(C=C3)Br)F)C4CCNCC4,Active,,,,High,>1000,class = 0,QC'ed NCATS
1355,24416220,5055687,CCOC(=O)N1CCC2=C(C1)SC(=C2C(=O)NC3=C(C=CC(=C3)Cl)OC)NCC4=C(C=CS4)C,Inactive,,,,Low,1,class = 1,QC'ed NCATS
1356,26755778,16759608,CC(=O)O[C@H]1C[C@H]([C@@]2(CCC3C(=O)O[C@@H](C[C@@]3([C@H]2C1=O)C)C4=COC=C4)C)C(=O)OC,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1357,162211048,71307834,C1CCN(CC1)C(=O)C2=CC3=C(C=C2)N(C=N3)C4=CC=C(C=C4)Cl,Active,,,,High,>1000,class = 0,QC'ed NCATS
1358,172113116,72710617,C1C(C12C3=CC=CC=C3NC2=O)C4=CC(=C(C(=C4)Cl)O)Cl,Active,,,,High,277.72,class = 0,QC'ed NCATS
1359,170465792,2333,CCC1=C(C2=CC=CC=C2O1)C(=O)C3=CC(=C(C(=C3)Br)O)Br,Active,,,,Moderate,61.98,class = 1,QC'ed NCATS
1360,24393808,16016035,CCOC1=CC=CC(=C1)C(=O)NC2=NC3=C(S2)CC(CC3)C(C)(C)C,Inactive,,,,Low,1,class = 1,QC'ed NCATS
1361,124391134,2431573,CC1=CC(=NO1)NS(=O)(=O)C2=CC=C(C=C2)NC(=O)CC3=CC(=C(C=C3)Cl)Cl,Active,,,,Moderate,30.22,class = 1,QC'ed NCATS
1362,162210969,71307836,CC(C)(C)N1C=NC2=C1C=CC(=C2)C(=O)N3CCCCC3,Active,,,,High,105.65,class = 0,QC'ed NCATS
1363,161004054,70789410,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC=CC(=C2OC)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1364,170466916,72187530,CC1=CC=CC=C1C(=O)N2CCC3=C2C=CC(=C3)C4=CC(=CC=C4)NC(=O)CC5=CC6=C(C=C5)OCO6,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1365,161004498,70789647,COC1=C(C=C(C=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4)F,Active,,,,High,107.24,class = 0,QC'ed NCATS
1366,160844121,70701462,CNC1=C(N=C(O1)C2=C(C(=CC=C2)Cl)Cl)C#N,Active,,,,High,505.22,class = 0,QC'ed NCATS
1367,384569290,57336276,CC1=C(C(=NO1)C2=CC=C(C=C2)F)COC3=NC=C(C=C3)C(=O)N4CCS(=O)(=O)CC4,Active,,,,High,258.11,class = 0,QC'ed NCATS
1368,99431312,46926035,C1CC2=C(C(N=C(N2)NC3=NC4=CC=CC=C4O3)C5=CC=CC=C5Br)C(=O)C1,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1369,161004040,70789535,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=CC(=C2)Br)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,Inactive,,,,Low,7.71,class = 1,QC'ed NCATS
1370,170466933,72187557,CC1=C(N=C(S1)NC(=O)CC2=CC3=C(C=C2)OCO3)C4=CC5=C(C=C4)N(CC5)C(=O)C6=CC=CC=C6OC,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1371,24275611,15991364,CC1=CC2=C(C=C1)OC3=C(C2=O)C(N(C3=O)CCCN4CCOCC4)C5=CC(=CC=C5)O,Active,,,,High,102.76,class = 0,QC'ed NCATS
1372,137275907,159324,CN1C=NC=C1[C@@](C2=CC=C(C=C2)Cl)(C3=CC4=C(C=C3)N(C(=O)C=C4C5=CC(=CC=C5)Cl)C)N,Active,,,,High,>1000,class = 0,QC'ed NCATS
1373,4259887,719449,CCOC(=O)C1=NN(C(=O)C2=C(SC=C21)N)C3=CC=C(C=C3)OC,Active,,,,High,186.94,class = 0,QC'ed NCATS
1374,29216561,5066378,CCN1C2=C(C=CC=C2SC1=NC(=O)C3=CC=C(C=C3)S(=O)(=O)N4CCCCC4)OC,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1375,161004469,70789665,COC1=C(C=CC(=C1)NC2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4)C(=O)OC,Active,,,,High,676.12,class = 0,QC'ed NCATS
1376,99367960,46907745,C1CN(CCC1C(=O)N)C2=NC=C(S2)C3=CC(=CC=C3)F,Active,,,,High,895.99,class = 0,QC'ed NCATS
1377,375857688,136665413,C1=CC(=CC(=C1)F)NC(=O)C2=CC(=NN2)C3=CC=CN3,Active,,,,High,136.13,class = 0,QC'ed NCATS
1378,377648755,765019,CC1=CC=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4CCCCC4,Active,,,,High,>1000,class = 0,QC'ed NCATS
1379,375888517,134808985,C1C(C2(CN1C(=O)CC3=CC=C(C=C3)O)CN(C2)C4=CC=CC=C4)CNC5=CC=CC=C5,Active,,,,High,196.52,class = 0,QC'ed NCATS
1380,4237692,3232805,CC1=C(C(=NO1)C)C(=O)N2CCC3(CCN(CC3)C(C4=CC=CC=C4)C5=CC=CC=C5)CC2,Active,,,,High,>1000,class = 0,QC'ed NCATS
1381,99367994,46907695,C1CN(CCC1C(=O)N)C2=NC=C(S2)C3=CC4=C(C=C3)OC(O4)(F)F,Active,,,,High,438.24,class = 0,QC'ed NCATS
1382,163827001,71660730,C1CC2=C(C(N=C(N2)NC3=NC4=C(O3)C=CC(=C4)[S+](=O)(N5CCOCC5)[O-])C6=C(C=NN6)Cl)C(=O)C1,Active,,,,High,169.4,class = 0,QC'ed NCATS
1383,162010106,71296020,C1CN(CCC1(F)F)C2=NC(=NC3=CC=CC=C32)C4=CC=NC=C4,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1384,384569003,53358901,C1=CC2=C(N=C1)N=C(C=C2)CCCC(=O)NCC3=CC(=NO3)C4=CC(=C(C=C4)F)C(F)(F)F,Active,,,,High,>1000,class = 0,QC'ed NCATS
1385,87550836,44640157,C1CC2=C(C(N=C(N2)NC3=NC4=CC=CC=C4O3)C5=CC=CC=C5Cl)C(=O)C1,Active,,,,High,>1000,class = 0,QC'ed NCATS
1386,24412196,7287095,CC1=C(SC2=NC(=NN12)C3=CC=C(C=C3)OC)CCNC(=O)C(C)(C)C,Active,,,,High,213.98,class = 0,QC'ed NCATS
1387,377702361,135416948,CC1=NN(C2=C1C(=CC(=O)N2)C(F)(F)F)CCC3=NC(=CS3)C4=CC=CC=C4F,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1388,377656637,7536878,COC1=CC=C(C=C1)CNC(=O)C2=NC3=CC=CC=C3N=C2,Active,,,,High,>1000,class = 0,QC'ed NCATS
1389,24402356,16023955,CC1=CC=C(C=C1)N2C(=C(C=N2)C(=O)NCCN3CCC(CC3)CC4=CC=CC=C4)C5CCN(CC5)C(=O)OC(C)(C)C,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1390,375887063,134807531,COC1=NC=C(C=C1)C2=CC(=CN3C2=CN=C3)C4=C5C=NNC5=CC=C4,Inactive,,,,Low,1,class = 1,QC'ed NCATS
1391,99367940,46907757,CCOC1=CC=C(C=C1)C2=CSC(=N2)N3CCC(CC3)C(=O)N,Active,,,,High,>1000,class = 0,QC'ed NCATS
1392,375860622,71826352,COC1=CC2=C(C=C1)N(C=C2)CCC(=O)NC3=CC4=C(C=C3)NC(=O)[C@@H]5CCCN5C4=O,Active,,,,Moderate,22.63,class = 1,QC'ed NCATS
1393,144116899,60167920,CC(C)C1=CC=CC=C1C2=NC3=CC=CC=C3C(=N2)NCC4=CC=C(C=C4)C5=CN=CC=C5,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1394,375859106,71959588,CCCN1C2=C(C=C(C=C2)NC(=O)C3=CC=CO3)S(=O)(=O)N=C1CC(C)C,Active,,,,High,426.53,class = 0,QC'ed NCATS
1395,144116857,60167830,C1=CC=C(C(=C1)C2=NC3=CC=CC=C3C(=N2)NCC4=CC=C(C=C4)C5=CN=CC=C5)C(F)(F)F,Active,,,,High,786.41,class = 0,QC'ed NCATS
1396,375888879,134809346,COCCN1C=CC2=C(N=C(C=C21)C3=CC4=C(C=C3)C(=O)NC4)C5=CCOCC5,Active,,,,Moderate,71.69,class = 1,QC'ed NCATS
1397,24395988,16018041,CC(C)OC1=CC=C(C=C1)CNC(=O)C2CCN(CC2)C(=O)N3CCOC4=C3C=C(C=C4)Cl,Active,,,,High,451.05,class = 0,QC'ed NCATS
1398,124955476,11315474,C1CCC(C1)(C#N)C2=CC=C(C=C2)NC(=O)C3=C(N=CC=C3)NCC4=CC=NC=C4,Active,,,,High,>1000,class = 0,QC'ed NCATS
1399,24270647,15990032,CC1=CC(=C(C=C1)C)NC2=C(C(=O)C3=CC=CC=C32)C4=CC=C(C=C4)C(F)(F)F,Inactive,,,,Low,1,class = 1,QC'ed NCATS
1400,861680,662914,C1C(=NN2C(=NN=C2S1)C3=CC=NC=C3)C4=CC=CC=C4,Active,,,,High,195.38,class = 0,QC'ed NCATS
1401,50112659,735924,C1C(=NN2C(=NN=C2S1)C3=CC=NC=C3)C4=CC=C(C=C4)Cl,Active,,,,High,371.52,class = 0,QC'ed NCATS
1402,161003937,70789361,CC1=C(C=C(C=C1)C2=NC3=CC=CC=C3C(=C2)C(=O)NC4=CC=C(C=C4)N5C=CC=N5)C,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1403,375847930,53143698,COC(=O)C1=CC(=CC=C1)NC(=O)C2=CN=C(N=C2C3=CC=NC=C3)C4=CC=C(C=C4)F,Active,,,,High,>1000,class = 0,QC'ed NCATS
1404,161004028,70789558,CC(C)OC1=CC=CC=C1C(=O)NC2=NC(=CS2)C3=CC=CC=C3,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1405,161004058,70789443,CC1=CC=C(C=C1)S(=O)(=O)NC2=CC(=C(C=C2C(=O)NC3=NC(=CS3)C4=CC=CC=C4)OC)OC,Active,,,,High,324.94,class = 0,QC'ed NCATS
1406,160844107,70701394,C1=CC=C(C=C1)N[S+](=O)(C2=CC=C(C=C2)NCC3=C(C(=CC=C3)C(F)(F)F)F)[O-],Active,,,,High,306.35,class = 0,QC'ed NCATS
1407,170363377,3158002,C1COCCN1S(=O)(=O)C2=C(C=CC(=C2)NC(=O)C3=CC=CC=C3)Cl,Active,,,,High,727.76,class = 0,QC'ed NCATS
1408,24787209,5738263,C1=CC=C(C=C1)CN2C(=NC3=CC=CC=C3C2=O)/C=C/C4=CN=CC=C4,Active,,,,High,>1000,class = 0,QC'ed NCATS
1409,24396406,16018446,CCN1CCN(CC1)CCCNC(=O)C2=CC3=C(C=C2)N4C=C(N=C4S3)C5=CC=C(C=C5)OC,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1410,375854679,71839006,CCOC1=CC=CC=C1C(=O)NC2CCN(C2=O)C3=CC(=CC(=C3)C)C,Active,,,,High,>1000,class = 0,QC'ed NCATS
1411,375887037,134807505,CN(C)C1=CC=CC(=C1)C2=CN=C(C3=C2CCO3)NC4=CC(=CC=C4)OC,Inconclusive,,,,N/F,N/F,,QC'ed NCATS
1412,377707745,3604519,CC1=C2C(=CC=C1)C(=CC(=N2)C3=CC=CS3)C(=O)O,Active,,,,Moderate,18.81,class = 1,QC'ed NCATS
1413,24270611,15990000,CC1=C(C=C(C=C1)NC2=C(C(=O)C3=CC=CC=C32)C4=CC=C(C=C4)C(F)(F)F)F,Inactive,,,,Low,1,class = 1,QC'ed NCATS
1414,375813726,134791199,C1CCN(C1)C(=O)C2=NC(=C3N2C=CC=C3)C4=CN=C(C=C4)Cl,Active,,,,High,>1000,class = 0,QC'ed NCATS
1415,24414536,16033974,CC1=C(C=C(C=C1)N2C3=NC=NC(=C3C=N2)NCCCN(C)C)Cl,Active,,,,High,>1000,class = 0,QC'ed NCATS
1416,124953236,135412648,C1=CC=C2C(=C1)N=C3C=CC=C(C3=N2)O,Active,,,,High,513.47,class = 0,QC'ed NCATS
1417,161004039,70789526,CC1=CC=C(C=C1)S(=O)(=O)NC2=C(C=C(C=C2)Br)C(=O)NC3=NC(=CS3)C4=CC=CC=C4,Inactive,,,,Low,2.4,class = 1,QC'ed NCATS
