SMILES,CASRN,EXTERNALID,N,NAME,ARTICLEID,PUBMEDID,PAGE,TABLE,Solubility_log(mol/L),UNIT {Water solubility},"Water solubility {measured, converted}",UNIT {Water solubility}.1,Dataset,Temperature,UNIT {Temperature},Ionic strength,UNIT {Ionic strength},comment (chemical),source,pH,UNIT {pH}
CCN1C2=CC=CC=C2N(C)C(=O)C3=CC=CC=C13,-,-,1038,RTI 19,A170,15154768,-,-,-4.749,log(mol/L),4.749,-log(M),,,-,,-,,,,-
CCN1C2=NC=CC=C2N(CC)C(=O)C3=CC=CN=C13,-,-,1039,-,A170,15154768,-,,-2.86,log(mol/L),2.86,-log(M),,,-,,-,,,,-
C1C2=CC=CC=C2N(CCF)C(=O)C3=CC=CC=C13,-,-,1040,RTI 20,A170,15154768,-,-,-4.799,log(mol/L),4.799,-log(M),,,-,,-,,,,-
CCN1C2=CC(N(C)C)=CC(C)=C2NC(=O)C3=CC=CN=C13,-,-,1041,-,A170,15154768,-,,-4.871,log(mol/L),4.871,-log(M),,,-,,-,,,,-
CCN1C2=CC(OC)=CC(C)=C2NC(=O)C3=CC=CN=C13,-,-,1042,RTI 23,A170,15154768,-,-,-5.153,log(mol/L),5.153,-log(M),,,-,,-,,,,-
CCN1C2=CC(Cl)=CC=C2NC(=O)C3=CC=CN=C13,-,-,1043,RTI 24,A170,15154768,-,-,-5.36,log(mol/L),5.36,-log(M),,,-,,-,,,,-
O1C2=CC(C)=CC=C2N(C)C(=O)C3=CC(N)=CN=C13,-,-,1044,-,A170,15154768,-,,-3.043,log(mol/L),3.043,-log(M),,,-,,-,,,,-
CCN1C2=CC=CC=C2N(C)C(=O)C3=CC=CN=C13,-,-,1045,-,A170,15154768,-,,-3.324,log(mol/L),3.324,-log(M),,,-,,-,,,,-
CCN1C2=NC(N(C)CCO)=CC=C2NC(=O)C3=CC=CN=C13,-,-,1046,RTI 6,A170,15154768,-,-,-3.36,log(mol/L),3.36,-log(M),,,-,,-,,,,-
C1C2=CC=CC=C2N(CCF)C(=O)C3=CC=CC=C13,-,-,1047,RTI 7,A170,15154768,-,-,-3.535,log(mol/L),3.535,-log(M),,,-,,-,,,,-
O1C2=CC=CC=C2N(CC)C(=O)C3=CC=CC=C13,-,-,1048,RTI 9,A170,15154768,-,-,-3.68,log(mol/L),3.68,-log(M),,,-,,-,,,,-
OCC1OC(OC2=CC=CC=C2CO)C(O)C(O)C1O,-,-,1049,salicin,A170,15154768,-,-,-0.85,log(mol/L),0.85,-log(M),,,-,,-,,,,-
NC(C1=CC=CC=C1O)=O,-,-,1050,salicylamide,A170,15154768,-,-,-1.836,log(mol/L),1.836,-log(M),,,-,,-,,,,-
C1=CC=CC=C1NC(=O)C2=C(O)C=CC=C2,-,-,1051,salicylanilide,A170,15154768,-,-,-3.59,log(mol/L),3.59,-log(M),,,-,,-,,,,-
CC12CCC3C(C)C(OC3C2=C(C(C=C1)=O)C)=O,-,-,1052,santonin,A170,15154768,-,-,-3.09,log(mol/L),3.09,-log(M),,,-,,-,,,,-
O=C1NC(=O)NC(=O)C1(C(C)CCC)CC=C,-,-,1053,Secobarbital,A170,15154768,-,-,-2.356,log(mol/L),2.356,-log(M),,,-,,-,,,,-
CC1CCCCC1NC(=O)NC2=CC=CC=C2,-,-,1054,siduron,A170,15154768,-,-,-4.11,log(mol/L),4.11,-log(M),,,-,,-,,,,-
CCNC1=NC(Cl)=NC(NCC)=N1,-,-,1055,simazine,A170,15154768,-,-,-4.55,log(mol/L),4.55,-log(M),,,-,,-,,,,-
CSC1=NC(=NC(=N1)N(C)C)N(C)C,-,-,1056,Simetryn,A170,15154768,-,-,-2.676,log(mol/L),2.676,-log(M),,,-,,-,,,,-
OCC(O)C(O)C(O)C(O)CO,-,-,1057,sorbitol,A170,15154768,-,-,1.09,log(mol/L),-1.09,-log(M),,,-,,-,,,,-
CSCS(=O)CC(CO)NC(=O)C=CC1=C(C)NC(=O)NC1=O,-,-,1058,"Sparsomycin (3,8mg/ml)",A170,15154768,-,-,-1.981,log(mol/L),1.981,-log(M),,,-,,-,,,,-
CC(=O)SC1CC2=CC(=O)CCC2(C)C3CCC4(C)C(CCC45CCC(=O)O5)C13,-,-,1059,spironolactone,A170,15154768,-,-,-4.173,log(mol/L),4.173,-log(M),,,-,,-,,,,-
CCCCOC1=CC=C(C(=O)OCC)C(=C1)N(CC)CC,-,-,1060,stadacaine,A170,15154768,-,-,-3.84,log(mol/L),3.84,-log(M),,,-,,-,,,,-
CC12CCC3C(CCC4CC(=O)CCC34C)C1CCC2O,-,-,1061,Stanolone,A170,15154768,-,-,-4.743,log(mol/L),4.743,-log(M),,,-,,-,,,,-
COP(=O)(OC)OC(=CCl)C1=CC(Cl)=C(Cl)C=C1Cl,-,-,1062,Stirofos,A170,15154768,-,-,-4.522,log(mol/L),4.522,-log(M),,,-,,-,,,,-
C=CC1=CC=CC=C1,-,-,1063,styrene,A170,15154768,-,-,-2.82,log(mol/L),2.82,-log(M),,,-,,-,,,,-
C1OC1C2=CC=CC=C2,-,-,1064,styrene oxide,A170,15154768,-,-,-1.6,log(mol/L),1.6,-log(M),,,-,,-,,,,-
O=C1CCC(=O)N1,-,-,1065,succinimide,A170,15154768,-,-,0.3,log(mol/L),-0.3,-log(M),,,-,,-,,,,-
OCC1OC(OC2(CO)OC(CO)C(O)C2O)C(O)C(O)C1O,-,-,1066,sucrose,A170,15154768,-,-,0.79,log(mol/L),-0.79,-log(M),,,-,,-,,,,-
NC(=N)NS(=O)(=O)C1=CC=C(N)C=C1,-,-,1067,sulfaguanidine,A170,15154768,-,-,-1.99,log(mol/L),1.99,-log(M),,,-,,-,,,,-
CCN(CC)C(=S)SCC(Cl)=C,-,-,1068,sulfallate,A170,15154768,-,-,-3.39,log(mol/L),3.39,-log(M),,,-,,-,,,,-
NC1=CC=C(C=C1)S(N)(=O)=O,-,-,1069,sulfanilamide,A170,15154768,-,-,-1.34,log(mol/L),1.34,-log(M),,,-,,-,,,,-
CCC(C)C1(CC=C)C(=O)NC(=O)NC1=O,-,-,1070,Talbutal,A170,15154768,-,-,-2.016,log(mol/L),2.016,-log(M),,,-,,-,,,,-
CC(C)(C)C1=CC=CC=C1,-,-,1071,t-Butylbenzene,A170,15154768,-,-,-3.66,log(mol/L),3.66,-log(M),,,-,,-,,,,-
CC=CC=O,-,-,1072,t-Crotonaldehyde,A170,15154768,-,,0.321,log(mol/L),-0.321,-log(M),,,-,,-,,,,-
FC1=CC=CC(F)=C1C(=O)NC(=O)NC2=CC(Cl)=C(F)C(Cl)=C2F,-,-,1073,TEFLUBENZURON,A170,15154768,-,-,-7.28,log(mol/L),7.28,-log(M),,,-,,-,,,,-
CC=1NC(=O)N(C(=O)C1Cl)C(C)(C)C,-,-,1074,terbacil,A170,15154768,-,-,-2.484,log(mol/L),2.484,-log(M),,,-,,-,,,,-
CCOP(=S)(OCC)SCSC(C)(C)C,-,-,1075,Terbufos,A170,15154768,-,-,-4.755,log(mol/L),4.755,-log(M),,,-,,-,,,,-
CCNC1=NC(NC(C)(C)C)=NC(OC)=N1,-,-,1076,Terbumeton,A170,15154768,-,-,-3.239,log(mol/L),3.239,-log(M),,,-,,-,,,,-
CCNC1=NC(NC(C)(C)C)=NC(SC)=N1,-,-,1077,Terbutryn,A170,15154768,-,-,-4.0,log(mol/L),4.0,-log(M),,,-,,-,,,,-
CC12CCC3C(CCC4=CC(=O)CCC34C)C1CCC2O,-,-,1078,Testosterone,A170,15154768,-,-,-4.02,log(mol/L),4.02,-log(M),,,-,,-,,,,-
CC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-,-,1079,testosterone acetate,A170,15154768,-,-,-5.184,log(mol/L),5.184,-log(M),,,-,,-,,,,-
CCC(=O)OC1CCC2C3CCC4=CC(=O)CCC4(C)C3CCC12C,-,-,1080,testosterone propionate,A170,15154768,-,-,-5.37,log(mol/L),5.37,-log(M),,,-,,-,,,,-
BrC(Br)(Br)Br,-,-,1081,tetrabromomethane,A170,15154768,-,-,-3.14,log(mol/L),3.14,-log(M),,,-,,-,,,,-
ClC(Cl)=C(Cl)Cl,-,-,1082,tetrachloroethylene,A170,15154768,-,-,-2.54,log(mol/L),2.54,-log(M),,,-,,-,,,,-
COC1=C(O)C(Cl)=C(Cl)C(Cl)=C1Cl,-,-,1083,tetrachloroguaiacol,A170,15154768,-,-,-4.02,log(mol/L),4.02,-log(M),,,-,,-,,,,-
ClC(Cl)(Cl)Cl,-,-,1084,Tetrachloromethane,A170,15154768,-,-,-2.31,log(mol/L),2.31,-log(M),,,-,,-,,,,-
CCCCCCCCCCCCCC,-,-,1085,Tetradecane,A170,15154768,-,-,-7.96,log(mol/L),7.96,-log(M),,,-,,-,,,,-
CC1=C(F)C(F)=C(COC(=O)C2C(C=C(Cl)C(F)(F)F)C2(C)C)C(F)=C1F,-,-,1086,Tetrafluthrin,A170,15154768,-,-,-7.321,log(mol/L),7.321,-log(M),,,-,,-,,,,-
C1CCOC1,-,-,1087,Tetrahydrofurane,A170,15154768,-,-,0.49,log(mol/L),-0.49,-log(M),,,-,,-,,,,-
C1CCOCC1,-,-,1088,tetrahydropyran,A170,15154768,-,-,-0.03,log(mol/L),0.03,-log(M),,,-,,-,,,,-
CN(C)C(=O)N(C)C,-,-,1089,tetramethylurea,A170,15154768,-,-,0.94,log(mol/L),-0.94,-log(M),,,-,,-,,,,-
O=C1N(C2CCC(=O)NC2=O)C(=O)C3=CC=CC=C13,-,-,1090,Thalidomide,A170,15154768,-,-,-2.676,log(mol/L),2.676,-log(M),,,-,,-,,,,-
CN1C=NC=2N(C)C(=O)NC(=O)C12,-,-,1091,theobromine,A170,15154768,-,-,-2.523,log(mol/L),2.523,-log(M),,,-,,-,,,,-
CN1C(N(C2=C(C1=O)NC=N2)C)=O,-,-,1092,Theophylline,A170,15154768,-,,-1.39,log(mol/L),1.39,-log(M),,,-,,-,,,,-
CS(=O)(=O)C1=CC=C(C=C1)C(O)C(CO)NC(=O)C(Cl)Cl,-,-,1093,Thiamphenicol,A170,15154768,-,-,-2.154,log(mol/L),2.154,-log(M),,,-,,-,,,,-
CCCC(C)C1(CC=C)C(=O)NC(=S)NC1=O,-,-,1094,thiamylal,A170,15154768,-,-,-3.46,log(mol/L),3.46,-log(M),,,-,,-,,,,-
C1=CC=CC=C1SC,-,-,1095,thioanisole,A170,15154768,-,-,-2.39,log(mol/L),2.39,-log(M),,,-,,-,,,,-
CNC(=O)ON=C(CSC)C(C)(C)C,-,-,1096,thiofanox,A170,15154768,-,-,-1.62,log(mol/L),1.62,-log(M),,,-,,-,,,,-
CCSCCSP(=S)(OC)OC,-,-,1097,Thiometon,A170,15154768,-,-,-3.091,log(mol/L),3.091,-log(M),,,-,,-,,,,-
CCCC(C)C1(CC)C(=O)NC(=S)NC1=O,-,-,1098,thiopental,A170,15154768,-,-,-3.36,log(mol/L),3.36,-log(M),,,-,,-,,,,-
C=1C=CSC1,-,-,1099,thiophene,A170,15154768,-,-,-1.33,log(mol/L),1.33,-log(M),,,-,,-,,,,-
SC1=CC=CC=C1,-,-,1100,thiophenol,A170,15154768,-,-,-2.12,log(mol/L),2.12,-log(M),,,-,,-,,,,-
SC1=NC=CC(=O)N1,-,-,1101,thiouracil,A170,15154768,-,-,-2.273,log(mol/L),2.273,-log(M),,,-,,-,,,,-
NC(=S)N,-,-,1102,thiourea,A170,15154768,-,-,0.32,log(mol/L),-0.32,-log(M),,,-,,-,,,,-
CN(C)C(=S)SSC(=S)N(C)C,-,-,1103,thiram,A170,15154768,-,-,-3.9,log(mol/L),3.9,-log(M),,,-,,-,,,,-
CC1=CNC(=O)NC1=O,-,-,1104,Thymine,A170,15154768,-,-,-1.506,log(mol/L),1.506,-log(M),,,-,,-,,,,-
CC(C)C1=CC=C(C)C=C1O,-,-,1105,thymol,A170,15154768,-,-,-2.22,log(mol/L),2.22,-log(M),,,-,,-,,,,-
C1(=C(C(=C(C(=C1[H])[H])[H])[H])[H])C([H])([H])[H],-,-,1106,Toluene,A170,15154768,-,-,-2.21,log(mol/L),2.21,-log(M),,,-,,-,,,,-
CC(C)(C)CC1=CC=CC=C1,-,-,1107,t-Pentylbenzene,A170,15154768,-,-,-4.15,log(mol/L),4.15,-log(M),,,-,,-,,,,-
CC1CCC(C)CC1,-,-,1108,"trans-1,4-Dimethylcyclohexane",A170,15154768,-,-,-4.47,log(mol/L),4.47,-log(M),,,-,,-,,,,-
CCCCC=CC,-,-,1109,trans-2-heptene,A170,15154768,-,-,-3.82,log(mol/L),3.82,-log(M),,,-,,-,,,,-
CCC=CC,-,-,1110,trans-2-pentene,A170,15154768,-,-,-2.54,log(mol/L),2.54,-log(M),,,-,,-,,,,-
CC(C)(C)C(=O)C(OC1=CC=C(Cl)C=C1)N2C=NC=N2,-,-,1111,triadimefon,A170,15154768,-,-,-3.61,log(mol/L),3.61,-log(M),,,-,,-,,,,-
CC(C)N(C(C)C)C(=O)SCC(Cl)=C(Cl)Cl,-,-,1112,triallate,A170,15154768,-,-,-4.88,log(mol/L),4.88,-log(M),,,-,,-,,,,-
CC12CC(O)C3(F)C(CCC4=CC(=O)C=CC34C)C1CC(O)C2(O)C(=O)CO,-,-,1113,triamcinolone,A170,15154768,-,-,-3.68,log(mol/L),3.68,-log(M),,,-,,-,,,,-
CC1(C)OC2CC3C4CCC5=CC(=O)C=CC5(C)C4(F)C(O)CC3(C)C2(O1)C(=O)CO,-,-,1114,triamcinolone acetonide,A170,15154768,-,-,-4.31,log(mol/L),4.31,-log(M),,,-,,-,,,,-
CC(=O)OCC(=O)C1(O)C(CC2C3CCC4=CC(=O)C=CC4(C)C3(F)C(O)CC12C)OC(C)=O,-,-,1115,triamcinolone diacetate,A170,15154768,-,-,-4.13,log(mol/L),4.13,-log(M),,,-,,-,,,,-
NC1=NC(N)=C2N=C(C3=CC=CC=C3)C(N)=NC2=N1,-,-,1116,Triamterene,A170,15154768,-,-,-2.404,log(mol/L),2.404,-log(M),,,-,,-,,,,-
ClC1=CC2=C(N3C(=NN=C3C)CN=C2C=4C(Cl)=CC=CC4)C=C1,-,-,1117,Triazolam,A170,15154768,-,-,-4.09,log(mol/L),4.09,-log(M),,,-,,-,,,,-
BrC(Br)Br,-,-,1118,Tribromomethane,A170,15154768,-,-,-1.91,log(mol/L),1.91,-log(M),,,-,,-,,,,-
COP(=O)(OC)C(O)C(Cl)(Cl)Cl,-,-,1120,trichlorfon,A170,15154768,-,-,-0.22,log(mol/L),0.22,-log(M),,,-,,-,,,,-
NS(=O)(=O)C1=CC2=C(NC(NS2(=O)=O)C(Cl)Cl)C=C1Cl,-,-,1121,trichlormethiazide,A170,15154768,-,,-2.68,log(mol/L),2.68,-log(M),,,-,,-,,,,-
ClC(Cl)(Cl)C#N,-,-,1122,Trichloroacetonitrile,A170,15154768,-,-,-2.168,log(mol/L),2.168,-log(M),,,-,,-,,,,-
ClC=C(Cl)Cl,-,-,1123,trichloroethylene,A170,15154768,-,-,-1.96,log(mol/L),1.96,-log(M),,,-,,-,,,,-
ClC(Cl)Cl,-,-,1124,Trichloromethane,A170,15154768,-,-,-1.17,log(mol/L),1.17,-log(M),,,-,,-,,,,-
CCOP(=S)(CC)OC1=CC(Cl)=C(Cl)C=C1Cl,-,-,1125,Trichloronate,A170,15154768,-,-,-5.752,log(mol/L),5.752,-log(M),,,-,,-,,,,-
OC1=CC(Cl)=CC=C1OC2=CC=C(Cl)C=C2Cl,-,-,1126,triclosan,A170,15154768,-,-,-4.46,log(mol/L),4.46,-log(M),,,-,,-,,,,-
CC1=CC=C(OP(=O)(OC2=CC=CC(C)=C2)OC3=CC=CC=C3C)C=C1,-,-,1127,tricresyl phosphate,A170,15154768,-,-,-6.01,log(mol/L),6.01,-log(M),,,-,,-,,,,-
CC1=CC=CC=2SC3=NN=CN3C12,-,-,1128,tricyclazole,A170,15154768,-,-,-2.07,log(mol/L),2.07,-log(M),,,-,,-,,,,-
CCNC1=NC(Cl)=NC(=N1)N(CC)CC,-,-,1129,trietazine,A170,15154768,-,-,-4.06,log(mol/L),4.06,-log(M),,,-,,-,,,,-
CCOP(=O)(OCC)OCC,-,-,1130,triethyl phosphate,A170,15154768,-,-,0.43,log(mol/L),-0.43,-log(M),,,-,,-,,,,-
CCCN(CCC)C1=C(C=C(C=C1N(=O)=O)C(F)(F)F)N(=O)=O,-,-,1131,trifluralin,A170,15154768,-,-,-5.68,log(mol/L),5.68,-log(M),,,-,,-,,,,-
ClC(Cl)(Cl)C(NC=O)N1C=CN(C=C1)C(NC=O)C(Cl)(Cl)Cl,-,-,1132,triforine,A170,15154768,-,-,-4.19,log(mol/L),4.19,-log(M),,,-,,-,,,,-
COC1=CC=2C(N)=NC(=NC2C(OC)=C1OC)N3CCN(CC3)C(=O)OCC(C)(C)O,-,-,1133,Trimazosin,A170,15154768,-,-,-3.638,log(mol/L),3.638,-log(M),,,-,,-,,,,-
C1=CC=C2C(=C1)C=3C=CC=CC3C=4C=CC=CC24,-,-,1134,triphenylene,A170,15154768,-,-,-6.726,log(mol/L),6.726,-log(M),,,-,,-,,,,-
NC1=NC=NC=2N(C=CC12)C3OC(CO)C(O)C3O,-,-,1135,tubercidin,A170,15154768,-,-,-1.95,log(mol/L),1.95,-log(M),,,-,,-,,,,-
O=C1C=CNC(=O)N1,-,-,1136,Uracil,A170,15154768,-,-,-1.488,log(mol/L),1.488,-log(M),,,-,,-,,,,-
NC(=O)N,-,-,1137,Urea,A170,15154768,-,-,0.96,log(mol/L),-0.96,-log(M),,,-,,-,,,,-
O=C1NC(=O)C=2NC(=O)NC2N1,-,-,1138,Uric acid,A170,15154768,-,-,-3.93,log(mol/L),3.93,-log(M),,,-,,-,,,,-
CCCCC=O,-,-,1139,Valeraldehyde,A170,15154768,-,-,-0.85,log(mol/L),0.85,-log(M),,,-,,-,,,,-
CNC(=O)C(C)SCCSP(=O)(OC)OC,-,-,1140,vamidothion,A170,15154768,-,-,1.144,log(mol/L),-1.144,-log(M),,,-,,-,,,,-
CC1(OC(=O)N(C1=O)C2=CC(Cl)=CC(Cl)=C2)C=C,-,-,1141,Vinclozolin,A170,15154768,-,-,-4.925,log(mol/L),4.925,-log(M),,,-,,-,,,,-
CC(=O)CC(C1=CC=CC=C1)C2=C(O)C=3C=CC=CC3OC2=O,-,-,1142,Warfarin,A170,15154768,-,-,-3.893,log(mol/L),3.893,-log(M),,,-,,-,,,,-
CC1=CC=CC(C)=C1NC(=O)C2=CC(=C(Cl)C=C2O)S(N)(=O)=O,-,-,1143,Xipamide,A170,15154768,-,-,-3.79,log(mol/L),3.79,-log(M),,,-,,-,,,,-
CNC(=O)OC1=CC(C)=CC(C)=C1,-,-,1144,XMC,A170,15154768,-,-,-2.581,log(mol/L),2.581,-log(M),,,-,,-,,,,-
C1=CC=C2C(C=CC=C2O)=C1,-,-,1,1_naphthol,A187,18624401,-,1,10432.3,?M/L,1.982,-log(M),,25.89,?C,0.171,mol/L,,,,-
BrC1=CC(C(O)=O)=C(N)C=C1,-,-,2,2_amino_5_bromobenzoic_acid,A187,18624401,-,1,842.692,?M/L,3.074,-log(M),,25.0,?C,0.163,mol/L,,,,-
C1=CC(=CC=C1O)I,-,-,3,4_iodophenol,A187,18624401,-,1,19312.0,?M/L,1.714,-log(M),,25.74,?C,0.219,mol/L,,,,-
OC1=C(Br)C=C(C(O)=O)C(O)=C1,-,-,4,5_bromo_2_4_dihydroxybenzoic_acid,A187,18624401,-,1,2397.22,?M/L,2.62,-log(M),,25.05,?C,0.186,mol/L,,,,-
FC=1C(=O)NC(=O)NC1,-,-,5,5_fluorouracil,A187,18624401,-,1,>1180000.0,?M/L,-0.07188,-log(M),,25.1,?C,,-,,,,-
O=C(NC1=CC=C(C=C1)O)C,-,-,6,Acetaminophen,A187,18624401,-,1,86329.6,?M/L,1.064,-log(M),,25.07,?C,0.244,mol/L,,,,-
S(=O)(=O)(N)C=1SC(NC(=O)C)=NN1,-,-,7,Acetazolamide,A187,18624401,-,1,3671.3,?M/L,2.435,-log(M),,24.45,?C,0.242,mol/L,,,,-
CC(C)NCC(O)COC1=CC=CC=C1CC=C,-,-,8,Alprenolol,A187,18624401,-,1,2321.89,?M/L,2.634,-log(M),,25.59,?C,0.16,mol/L,,,,-
C1C2CC3CC(CC1C3)(N)C2,-,-,9,Amantadine,A187,18624401,-,1,14007.5,?M/L,1.854,-log(M),,25.57,?C,0.273,mol/L,,,,-
C(=O)(C1=CC(=C(C(I)=C1)OCCN(CC)CC)I)C2=C(OC3=C2C=CC=C3)CCCC,-,-,10,Amiodarone,A187,18624401,-,1,0.0067,?M/L,8.174,-log(M),,25.03,?C,,-,,,,-
CN(C)CCC=C1C2=CC=CC=C2CCC3=CC=CC=C13,-,-,11,amitryptyline,A187,18624401,-,1,28.2093,?M/L,4.55,-log(M),,25.13,?C,0.156,mol/L,,,,-
C1(=C(CN(CC)CC)C=C(C=C1)NC2=CC=NC3=C2C=CC(=C3)Cl)O,-,-,12,amodiaquine,A187,18624401,-,1,1.61562,?M/L,5.792,-log(M),,25.56,?C,0.168,mol/L,,,,-
CN1C2CCC1CC(C2)OC(=O)C(CO)C3=CC=CC=C3,-,-,14,Atropine,A187,18624401,-,1,9942.05,?M/L,2.003,-log(M),,24.66,?C,0.2,mol/L,,,,-
S(C=1N(C=NC1N(=O)=O)C)C2=NC=NC=3N=CNC23,-,-,15,Azathioprine,A187,18624401,-,1,619.662,?M/L,3.208,-log(M),,24.89,?C,0.159,mol/L,,,,-
N1(C=NC=C1)CC2=CC=CC=C2,-,-,16,benzylimidazole,A187,18624401,-,1,5524.32,?M/L,2.258,-log(M),,25.03,?C,0.257,mol/L,,,,-
BrC1=CC=2C(CN(C)C)=CNC2C=C1,-,-,17,bromogramine,A187,18624401,-,1,88.0647,?M/L,4.055,-log(M),,25.05,?C,0.151,mol/L,,,,-
CCCCN1CCCCC1C(=O)NC2=C(C)C=CC=C2C,-,-,18,bupivacaine,A187,18624401,-,1,596.827,?M/L,3.224,-log(M),,25.13,?C,0.19,mol/L,,,,-
CC(C(O)=O)C1=CC=C2C(=C1)NC=3C=CC(Cl)=CC23,-,-,19,carprofen,A187,18624401,-,1,20.0337,?M/L,4.698,-log(M),,25.03,?C,0.156,mol/L,,,,-
COC1=CC=CC=C1OCCNCC(O)COC2=CC=CC=3NC=4C=CC=CC4C23,-,-,20,Carvedilol,A187,18624401,-,1,55.5,?M/L,4.256,-log(M),,25.39,?C,0.156,mol/L,,,,-
C1(=C(COC(C)=O)CSC2C(NC(=O)CC3=CC=CS3)C(N12)=O)C(O)=O,-,-,21,Cephalothin,A187,18624401,-,1,1153.54,?M/L,2.938,-log(M),,25.66,?C,0.206,mol/L,,,,-
C(C(C1=CC=CC=N1)C2=CC=C(C=C2)Cl)CN(C)C,-,-,22,Chlorpheniramine,A187,18624401,-,1,2154.31,?M/L,2.667,-log(M),,24.94,?C,0.191,mol/L,,,,-
C1=C(Cl)C=CC=2SC3=CC=CC=C3N(CCCN(C)C)C12,-,-,23,Chlorpromazine,A187,18624401,-,1,8.50348,?M/L,5.07,-log(M),,24.78,?C,0.162,mol/L,,,,-
ClC1=CC=C(S(=O)(NC(=O)NCCC)=O)C=C1,-,-,24,chlorpropamide,A187,18624401,-,1,564.456,?M/L,3.248,-log(M),,24.94,?C,0.156,mol/L,,,,-
CN(C)CCC=C1C2=CC=CC=C2SC3=CC=C(C=C13)Cl,-,-,25,chlorprothixene_form_I,A187,18624401,-,1,0.177964,?M/L,6.75,-log(M),,25.48,?C,0.154,mol/L,,,,-
CN(C)CCC=C1C2=CC=CC=C2SC3=CC=C(C=C13)Cl,-,-,26,chlorprothixene_form_II,A187,18624401,-,1,1.36105,?M/L,5.866,-log(M),,26.11,?C,0.153,mol/L,,,,-
C1=CC2=C(C=C1Cl)NC(=O)O2,-,-,27,Chlorzoxazone,A187,18624401,-,1,2205.23,?M/L,2.657,-log(M),,25.11,?C,0.171,mol/L,,,,-
CC1=C(N=CN1)CSCCNC(=NC)NC#N,-,-,28,Cimetidine,A187,18624401,-,1,20340.2,?M/L,1.692,-log(M),,24.74,?C,0.21,mol/L,,,,-
O=C(C1=CN(C2CC2)C3=C(C=C(F)C(N4CCNCC4)=C3)C1=O)O,-,-,29,Ciprofloxacin,A187,18624401,-,1,253.219,?M/L,3.597,-log(M),,24.97,?C,0.174,mol/L,,,,-
CN1CC2CC1CN2C3=C(C=C4C(N(C=C(C(=O)O)C4=O)C5CC5)=C3)F,-,-,30,danofloxacin,A187,18624401,-,1,1260.0,?M/L,2.9,-log(M),,25.11,?C,0.177,mol/L,,,,-
CC(CC1=CC=CC=C1)N(C)CC#C,-,-,31,Deprenyl,A187,18624401,-,1,3072.66,?M/L,2.512,-log(M),,25.1,?C,0.169,mol/L,,,,-
N1(C2=C(CCC3=CC=CC=C13)C=CC=C2)CCCNC,-,-,32,Desipramine,A187,18624401,-,1,235.682,?M/L,3.628,-log(M),,25.14,?C,0.157,mol/L,,,,-
ClC1=CC=2S(=O)(=O)N=C(NC2C=C1)C,-,-,33,diazoxide,A187,18624401,-,1,434.438,?M/L,3.362,-log(M),,24.85,?C,0.171,mol/L,,,,-
C1(=C(NC2=C(C=CC=C2Cl)Cl)C=CC=C1)CC(=O)O,-,-,34,Diclofenac,A187,18624401,-,1,3.49648,?M/L,5.456,-log(M),,25.08,?C,0.159,mol/L,,,,-
CN1CCN(CC1)C2=C(C=C3C(N(C=C(C(=O)O)C3=O)C4=CC=C(C=C4)F)=C2)F,-,-,35,difloxacin,A187,18624401,-,1,251.311,?M/L,3.6,-log(M),,24.79,?C,0.184,mol/L,,,,-
O=C1C(OC(C)=O)C(C2=CC=C(OC)C=C2)SC3=CC=CC=C3N1CCN(C)C,-,-,36,Diltiazem,A187,18624401,-,1,693.647,?M/L,3.159,-log(M),,26.16,?C,0.152,mol/L,,,,-
CN(C)CCOC(C1=CC=CC=C1)C2=CC=CC=C2,-,-,37,diphenydramine,A187,18624401,-,1,1133.31,?M/L,2.946,-log(M),,25.79,?C,0.157,mol/L,,,,-
O=C1NC(=O)NC1(C2=CC=CC=C2)C3=CC=CC=C3,-,-,38,diphenylhydantoin,A187,18624401,-,1,139.293,?M/L,3.856,-log(M),,24.89,?C,0.173,mol/L,,,,-
CCN1CCN(CC1)C2=C(C=C3C(N(C=C(C(=O)O)C3=O)C4CC4)=C2)F,-,-,39,enrofloxacin,A187,18624401,-,1,659.005,?M/L,3.181,-log(M),,25.1,?C,0.196,mol/L,,,,-
NC(CCSCC1=CSC(N=C(N)N)=N1)=NS(=O)(N)=O,-,-,40,Famotidine,A187,18624401,-,1,2255.02,?M/L,2.647,-log(M),,25.01,?C,0.169,mol/L,,,,-
CC(C(O)=O)C1=CC=CC(OC2=CC=CC=C2)=C1,-,-,41,fenoprofen,A187,18624401,-,1,200.349,?M/L,3.698,-log(M),,24.91,?C,0.162,mol/L,,,,-
C(C1=C(NC2=CC(=CC=C2)C(F)(F)F)C=CC=C1)(=O)O,-,-,42,flufenamic_acid,A187,18624401,-,1,4.41611,?M/L,5.355,-log(M),,25.77,?C,0.159,mol/L,,,,-
CC1CCC2=CC(F)=CC3=C2N1C=C(C(O)=O)C3=O,-,-,43,Flumequine,A187,18624401,-,1,185.101,?M/L,3.733,-log(M),,24.9,?C,0.155,mol/L,,,,-
CC(C(O)=O)C1=CC=C(C(F)=C1)C2=CC=CC=C2,-,-,44,Flurbiprofen,A187,18624401,-,1,70.5019,?M/L,4.152,-log(M),,25.76,?C,0.159,mol/L,,,,-
